trip_id,trip_short_name,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
"101_20121001","101","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"102_20121001","102","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"103_20121001","103","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_tam_sf"
"104_20121001","104","ct_local_20121001","WD_20121001","Tamien","1",,"cal_sf_tam"
"134_20121001","134","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"135_20121001","135","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"138_20121001","138","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"139_20121001","139","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"142_20121001","142","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"143_20121001","143","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"146_20121001","146","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"147_20121001","147","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"150_20121001","150","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"151_20121001","151","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"152_20121001","152","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"155_20121001","155","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"156_20121001","156","ct_local_20121001","WD_20121001","Gilroy","1",,"cal_sf_gil"
"159_20121001","159","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"190_20121001","190","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"191_20121001","191","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"192_20121001","192","ct_local_20121001","WD_20121001","Tamien","1",,"cal_sf_tam"
"193_20121001","193","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"194_20121001","194","ct_local_20121001","WD_20121001","Tamien","1",,"cal_sf_tam"
"195_20121001","195","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_tam_sf"
"196_20121001","196","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"197_20121001","197","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_tam_sf"
"198_20121001","198","ct_local_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"199_20121001","199","ct_local_20121001","WD_20121001","San Francisco","0",,"cal_sj_sf"
"206_20121001","206","ct_limited_20121001","WD_20121001","San Jose","1",,"cal_sf_sj"
"207_20121001","207","ct_limited_20121001","WD_20121001","San Francisco","0",,"cal_tam_sf"
"208_20121001","208","ct_limited_20121001","WD_20121001","Tamien","1",,"cal_sf_tam"
"210_20121001","210","ct_limited_20121001","WD_20121001","Tamien","1",,"cal_sf_tam"
